,lat,lon,time,nuclide,_dl,_unit,value,_unc,species,body_part,bio_group,sample_id,contracting_party,id,is_replicate,replicated_group
81,51.4,3.9622222222222225,1507161600,cs137,2,5,0.2,,129,19,14,2018011472,Netherlands,86016,True,28
82,51.4,3.9622222222222225,1507161600,cs137,2,5,0.2,,129,19,14,2018011471,Netherlands,86013,True,28
83,51.4,3.9622222222222225,1507161600,cs137,2,5,0.2,,129,19,14,2018011470,Netherlands,86010,True,28
84,51.4,3.9622222222222225,1507161600,pb210,2,5,1.0,,129,19,14,2018011472,Netherlands,86018,True,29
85,51.4,3.9622222222222225,1507161600,pb210,2,5,1.0,,129,19,14,2018011471,Netherlands,86015,True,29
86,51.4,3.9622222222222225,1507161600,pb210,2,5,1.0,,129,19,14,2018011470,Netherlands,86012,True,29
87,51.4,3.9622222222222225,1507161600,pb210,2,5,1.0,,129,19,14,2018011473,Netherlands,86021,True,29
88,51.4,3.9622222222222225,1507161600,ra226,2,5,1.8,,129,19,14,2018011473,Netherlands,86020,True,30
89,51.4,3.9622222222222225,1507161600,ra226,2,5,1.8,,129,19,14,2018011472,Netherlands,86017,True,30
90,51.4,3.9622222222222225,1507161600,ra226,2,5,1.8,,129,19,14,2018011470,Netherlands,86011,True,30
91,51.4,3.9622222222222225,1507161600,ra226,2,5,1.8,,129,19,14,2018011471,Netherlands,86014,True,30
92,51.4,3.9622222222222225,1539648000,cs137,2,5,0.2,,129,19,14,2019007186,Netherlands,87188,True,31
93,51.4,3.9622222222222225,1539648000,cs137,2,5,0.2,,129,19,14,2019007185,Netherlands,87185,True,31
94,51.4,3.9622222222222225,1539648000,cs137,2,5,0.2,,129,19,14,2019007187,Netherlands,87191,True,31
95,51.4,3.9622222222222225,1539648000,pb210,2,5,1.0,,129,19,14,2019007186,Netherlands,87190,True,32
96,51.4,3.9622222222222225,1539648000,pb210,2,5,1.0,,129,19,14,2019007185,Netherlands,87187,True,32
97,51.4,3.9622222222222225,1539648000,pb210,2,5,1.0,,129,19,14,2019007187,Netherlands,87193,True,32
98,51.4,3.9622222222222225,1539648000,ra226,2,5,1.8,,129,19,14,2019007186,Netherlands,87189,True,33
99,51.4,3.9622222222222225,1539648000,ra226,2,5,1.8,,129,19,14,2019007185,Netherlands,87186,True,33
100,51.4,3.9622222222222225,1539648000,ra226,2,5,1.8,,129,19,14,2019007187,Netherlands,87192,True,33
101,51.4,3.9622222222222225,1573689600,cs137,2,5,0.2,,129,19,14,,Netherlands,89352,True,34
102,51.4,3.9622222222222225,1573689600,cs137,2,5,0.2,,129,19,14,,Netherlands,89355,True,34
103,51.4,3.9622222222222225,1573689600,cs137,2,5,0.2,,129,19,14,,Netherlands,89358,True,34
104,51.4,3.9622222222222225,1573689600,pb210,2,5,1.0,,129,19,14,,Netherlands,89354,True,35
105,51.4,3.9622222222222225,1573689600,pb210,2,5,1.0,,129,19,14,,Netherlands,89357,True,35
